Sun, -4.138911767258502e-03, 7.350041729527560e-03, 3.241351872221244e-05, -8.250091291391614e-06, -2.382657865039848e-06, 2.278402615205849e-07, 1.988500e30
Mercury, 1.028291409161863e-01, 2.958105653291369e-01, 1.379108978698249e-02, -3.202034776301822e-02, 1.085609882700365e-02, 3.824144478639096e-03, 3.302e23
Venus, 2.452359016821033e-01, 6.838213962971565e-01, -5.076132664660649e-03, -1.905281388985807e-02, 6.899141013398608e-03, 1.193932567094300e-03, 4.8685e24
Earth, -7.756973325652013e-01, 6.224693028784704e-01, 3.743540802014699e-06, -1.101191905322506e-02, -1.351247866753390e-02, 6.159016851137530e-07, 5.97219e24
Mars, -9.070804697534424e-01, -1.240660408192739e+00, -3.964594547707404e-03, 1.185598617760214e-02, -7.005167940385302e-03, -4.375991053573262e-04, 6.4171e23
Jupiter, 8.253100420406844e-01, -5.138826959489569e+00, 2.848999155655939e-03, 7.359166408193531e-03, 1.555839914256654e-03, -1.710591461873450e-04, 3.79626e28
Saturn, 3.991542707463880e+00, -9.192493140481870e+00, 9.362653163950606e-04, 4.808198982687447e-03, 2.205312655797328e-03, -2.294775238484330e-04, 5.6834e26
Uranus, 1.612735007618030e+01, 1.151058242292130e+01, -1.661812043097535e-01, -2.313784540915307e-03, 3.018058574107292e-03, 4.126293578646175e-05, 8.6813e25
Neptune, 2.926524292268337e+01, -6.233162987600283e+00, -5.460868878676082e-01, 6.329786819124503e-04, 3.088493761548988e-03, -7.849401873899112e-05, 1.02413e26
Pluto, 1.309469898830053e+01, -3.134070948610209e+01, -4.341095185617982e-01, 2.975983097239811e-03, 5.430162270116922e-04, -9.279060492433843e-04, 1.307e22
Moon, -7.780163096409389e-01, 6.230929317983712e-01, 2.034048255254121e-04, -1.117541909215553e-02, -1.412101765882169e-02, 2.216448524555018e-05, 7.349e22
Halley, -2.030214358826866e+01, 2.661812318922205e+01, -9.972768864700402e+00, 2.229490654271002e-04, 5.733527061118263e-04, -3.393597418845928e-05, 2.2e14
